"study","country","site","religion","subject_id","researcher","date","subject_gender","subject_age","subject_job","subject_schedule","subject_livedhere","subject_lang","subject_marital","subject_hs","subject_liveswith","subject_servicesperweek","subject_specialrole","spev_score","spev_recoded_score","pv_score","abs_score"
"study 1","Vanuatu","urban","charismatic",99001,"Rsmith",2017-04-01,"Male",35,"Bus Driver","Everyday, Irregular","35y","Tongoa, Two Languages","Maret finis (Married)","Yes","man o woman blong yu (Spouse),sam pikinini (Multiple children)","3",1,0.769230769230769,0.555555555555556,1.08333333333333,0.617647058823529
"study 1","Vanuatu","urban","local",99002,"Rsmith",2017-03-01,"Male",27,"Vmf, Band","Normal/shifts","Full Life","Namakura","Singel (Single)","Yes","yu wan (Lives alone)","Sunday",0,0.46,0.346153846153846,1,0.441176470588235
"study 1","Ghana","urban","charismatic",99003,"Jdulin",2017-02-20,"Female",21,"Teacher Trainee At Ola College Of Educat","40","3 Years","Ewe","Single","Yes","Friends/roommates","3",1,0.62962962962963,0.592592592592593,1.5,0.588235294117647
"study 1","Ghana","rural","charismatic",99004,"VDzokoto",2017-08-21,"Male",52,"Mason, Bar Owner, Football Coach, Former Local Assembly Man, Help Wife Out In Farm Occasionally","Varies","14 Years","Fante, English","Married Ana aware","Yes Nyew","Spouse Menye me kum/yer","2",1,0.269230769230769,0.259259259259259,1.25,0.5
"study 1","Ghana","urban","charismatic",99005,"Jdulin",2017-02-17,"Female",37,"Journalist","45","18","fante","Married","Yes","Spouse,Child","3",1,0.555555555555556,0.518518518518518,1.25,0.352941176470588
"study 1","Ghana","rural","charismatic",99006,"VDzokoto",2017-08-23,"Male",40,"Electrician","8 To 6 Or 10 4-7 Days A Week","5 Years","Twi, Fante","Engaged WÉ” agye wo aware","Yes Nyew","Siblings Enuanom","Less Than Once. Week, Irregular Attendance",0,0.259259259259259,0.259259259259259,2.25,0.529411764705882
"study 1","Ghana","rural","local",99007,"VDzokoto",2017-08-16,"Male",45,"Fisherman","10 Hours","20years","Fante","Married Ana aware","No Oho/ dabi","Spouse Menye me kum/yer","6",1,0.592592592592593,0.444444444444444,1,0.941176470588235
"study 1","US","rural","local",99008,"JBrahinsky",2017-04-26,"Male",23,"Student- Music",NA,"23","Eng","Single","Yes","Mother,Father","43102",1,0.111111111111111,0.111111111111111,0,0.5
"study 1","Ghana","urban","charismatic",99009,"Jdulin",2017-03-07,"Male",26,"Student","50","16","Fante","Single","Yes","Friends/roommates","4",1,0.62962962962963,0.62962962962963,1.58333333333333,0.424242424242424
"study 1","Vanuatu","rural","charismatic",99010,"Rsmith",2017-09-09,"Male",45,"Gardener, Builder",NA,"Life","Euta, Namakura, Nakanaman","Maret finis (Married)","No","man o woman blong yu (Spouse),sam pikinini (Multiple children),i bitim 5 (Lives with over 5 people)","Everyday",1,0.611111111111111,0.666666666666667,1.3,0.705882352941177
