"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","US","general population",10381,1,"Amy","English","Female",22,"Caucasian",1,0,"Mom: Nurse","Student",NA,NA,"Rural","Christian","Missing Data",2,"Baptist",1,1,0.05,0.392857142857143
"study 2","US","general population",10382,1,"Amy","English","Female",21,"White",1,0,"Mom: psychologist, Dad: anthropologist (chair at Penn)","student in archaeology",NA,NA,"Rural","have been to church once","mdata",2,"none",1,1,0.15,0.214285714285714
"study 2","US","general population",10383,1,"Amy","English","Male",53,"African American",1,1,"Mom: Postal worker, Dad: Worked at Oakland Airport","Doctoral Student and Adjunct professor at Howard University","Other graduate degree",NA,"Urban","Raised catholic, Catholic School kindergarten - 12th grade, But now has more inclusive direct approach to the divine","Catholic",2,"Doesn't attend much, but will go to any kind of church",1,1,0.4,0.714285714285714
"study 2","US","general population",10384,1,"Amy","English","Male",21,"Vietnamese American",1,0,"Mom: former software engineer, Dad: bank","consulting",NA,NA,"Urban","No","mdata",-1,"mdata",1,1,0,0
"study 2","US","general population",10385,1,"Amy","English","Female",27,"Chinese",1,0,"Mom: Real state, Dad: in Business","Federal employee",NA,NA,"Rural","Agnostic, raised congregationalist elementary school / Middle school onwards. Christian holidays","Missing Data",0,"Missing Data",1,1,0,0.285714285714286
"study 2","US","general population",10386,1,"Amy","English","Female",21,"white",1,0,"Parents are both realtors","student","Some college",NA,"Urban","Raised very religious - Catholic, don't practice any religion now","Catholicism",-1,"n/a",1,1,0.0526315789473684,0.3125
"study 2","US","general population",10387,1,"Amy","English","Male",20,"White",1,0,"Dad: Pool technician","student","Some college",NA,"Urban","None","None",1,NA,1,1,0.15,0.625
"study 2","US","general population",10388,1,"Amy","English","Female",21,"Latina",0,-1,"Mom: cleans houses, Dad: landscape","student & sell tickets @ movies","Some college",NA,"Urban","raised Catholic, but don't necessarily","Catholic",0,"don't",0,0,0.15,0.5
"study 2","US","general population",10389,1,"Amy","English","Male",64,"Caucasian",1,1,"Mom: Waitress, Dad: Missing Data","Retired plumber","Some college",NA,"Urban","None","Christian",2,"Missing Data",1,1,0.1,0.3125
"study 2","US","general population",10390,1,"Amy","English","Female",21,"Asian",0,0,"Mom: works in finance @ Redwood city hall, Dad: driver (think)","student","Some college",NA,"Urban","Christianity","Mom: Christian, Dad: Buddhist",1,"Grace Bible Church in Redwood City (Facebook pg says non-denominational)",0,0,0.1,0.0625
"study 2","US","general population",10391,1,"Amy","English","Male",43,"Caucasian",1,-1,"Mom: Teacher and then worked in dental office, Dad: Electrician","Electrician","Some college",NA,"Urban","Raised Catholic, but don't really believe. Learn about Quran","Mom: spiritual, raised Christian, Dad: raised Catholic, but think Atheist",2,"Church in Catholic high school",1,1,0.15,0.375
"study 2","US","general population",10392,1,"Amy","English","Female",59,"White",1,2,"Mom: County, Dad: Worked for phone co.","County specialist - temporary jobs","Other graduate degree",NA,"Urban","Unitarian Universalism","Evangelican Christian (to dismay), brought up Catholic, they were Catholic",2,"Universalist Unitarian of San Mateo",1,1,0.05,0
"study 2","US","general population",10393,1,"Amy","English","Male",35,"Latino / Hispanic",1,0,"Retired, Mom: at home, Dad: at machine shop","Self-employed contractor","Some college",NA,"Rural","Catholic","Catholic",2,"St. Anthony , Redwood City",1,1,0.25,0.53125
