"study","country","subject_id","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_urban_rural","subject_religion","subject_religiosity","subject_church","subject_tongues","spev_score","dse_score","pv_score","por_score","abs_score","hall_score","para_score","cog_score","ctl_score"
"Study 4","US",10936,"female",18,"Syrian",0,-1,"Driver","urban","Don't believe in God",-2,".",".",0.0909090909090909,1.35714285714286,0.5,0,0.823529411764706,1.5,0,0.555555555555556,1.58333333333333
"Study 4","US",10937,"female",19,"white",0,1,"I don't understand it","urban",".",0,".",".",0.666666666666667,2.42857142857143,0.214285714285714,0.125,0.705882352941177,0.333333333333333,0,0.555555555555556,1.08333333333333
"Study 4","US",10938,"female",21,"caucasian",0,1,"mdata","urban",".",-2,".",".",0.277777777777778,1.78571428571429,0.357142857142857,0.6875,0.441176470588235,0.333333333333333,0.428571428571429,0.444444444444444,1.5
"Study 4","US",10939,"female",19,"Mexican, Native American",0,1,"N/A","urban",".",0,".",".",0.238095238095238,1.78571428571429,0.928571428571429,0.5,0.676470588235294,1.33333333333333,0.714285714285714,-0.166666666666667,0.416666666666667
"Study 4","US",10940,"female",20,"White",0,1,"Journalists","rural","Christianity",-1,"Local Protestant Church",".",0.0909090909090909,1.42857142857143,0,0.0625,0.735294117647059,0.833333333333333,0.142857142857143,1.66666666666667,2.16666666666667
"Study 4","US",10941,NA,NA,"mdata",NA,NA,"mdata",NA,".",NA,".",".",1.73333333333333,3.5,0.142857142857143,1.1875,1,2.66666666666667,1,0.388888888888889,1.5
"Study 4","US",10942,"male",18,"Black",1,-1,"N/A","urban","Christian",2,"West LA","1",2.78947368421053,3.92857142857143,2.5,1.625,0.606060606060606,1.83333333333333,0.571428571428571,0.166666666666667,0.916666666666667
"Study 4","US",10943,"male",18,"filipino mexican",0,-1,"x ray tech","urban","christianity",-1,".","1",0,2.64285714285714,0.714285714285714,1.125,0.676470588235294,1.33333333333333,0.714285714285714,-0.111111111111111,0.333333333333333
"Study 4","US",10944,"female",19,"Filipino / White / American",0,-1,"montessori teacher","urban",".",1,".",".",0.666666666666667,3.35714285714286,1.64285714285714,1.125,0.852941176470588,1.5,0.714285714285714,0.666666666666667,1.33333333333333
"Study 4","US",10945,"female",18,"asian",0,1,"aerospace engineer","urban",".",-1,".",".",0.315789473684211,0.857142857142857,1.28571428571429,0.625,0.823529411764706,1.5,0.714285714285714,-0.222222222222222,-0.75
"Study 4","US",10946,"male",18,"Hispanic",0,0,"Mom: Dispatcher, Dad: Warehouse Handler","urban",".",2,".",".",2.36363636363636,4.5,1.71428571428571,1.125,0.705882352941177,2.16666666666667,0.857142857142857,0.0555555555555556,1.16666666666667
"Study 4","US",10947,"female",18,"filipino",0,-1,"english teacher","urban",".",-1,".",".",0.272727272727273,0.357142857142857,0.571428571428571,0.5625,0.352941176470588,0.5,0.714285714285714,-0.611111111111111,1
"Study 4","US",10948,"male",20,"black & asian",0,-2,"health and law","urban","Methodist",1,".",".",1.9,2.42857142857143,2.07692307692308,1.06666666666667,0.588235294117647,1,0.857142857142857,0,-0.583333333333333
"Study 4","US",10949,"female",18,"Mexican / Filipino",0,0,"Water Treatment Supervisor","rural","Roman Catholic",0,"Sacred Heart Church, Ventura, CA","1",0.5,1.64285714285714,0.357142857142857,0.8125,0.794117647058823,1.16666666666667,0.428571428571429,-1.27777777777778,0.166666666666667
"Study 4","US",10950,NA,18,"black/filipino",1,1,"teacher","urban",".",-1,".",".",0.0476190476190476,0.928571428571429,0,0.8125,0.205882352941176,0.333333333333333,0.428571428571429,-0.111111111111111,2.41666666666667
"Study 4","US",10951,"female",18,"Latina",0,0,"student","urban",".",-1,".","0",0.4,0.142857142857143,0.571428571428571,0.6875,0.294117647058824,1.5,0.571428571428571,-0.0555555555555556,0.25
"Study 4","US",10952,NA,18,"Black and White",1,0,NA,"rural",".",1,".",".",0.842105263157895,2,2.14285714285714,1.63636363636364,0.911764705882353,2.5,1,0.222222222222222,1.83333333333333
"Study 4","US",10953,"female",18,"Black",0,1,NA,"urban",".",2,".",".",1.63157894736842,2.5,1.78571428571429,1.5625,0.941176470588235,2,0.857142857142857,1,1.5
"Study 4","US",10954,"female",18,"Hispanic",0,1,"Nurse","urban","Catholic",1,"Church","0",0.0952380952380952,1.85714285714286,0.142857142857143,0.125,0.5,0.833333333333333,0,-0.166666666666667,0.583333333333333
"Study 4","US",10955,"male",20,"Filipino",0,0,"Army","rural","Christianity",2,"First Filipino American United Church of Christ","0",0.409090909090909,3.78571428571429,0.0714285714285714,0.5,0.264705882352941,0.166666666666667,0,-0.333333333333333,0.5
"Study 4","US",10956,"female",19,"Mexican",0,-1,"Human Resources","urban","Catholic",-2,".",".",0.181818181818182,1.14285714285714,0.357142857142857,0.25,0.617647058823529,0.833333333333333,0.285714285714286,-0.111111111111111,1.08333333333333
"Study 4","US",10957,"female",18,"White",0,0,"Accountant","urban","Christianity",1,".","0",0.909090909090909,2.71428571428571,0,0.625,0.5,2.83333333333333,0.285714285714286,0.833333333333333,0.166666666666667
"Study 4","US",10958,"male",18,"Mexican",0,-1,"construction","urban","Catholic",1,".","1",1.8,2.35714285714286,0.357142857142857,0.1875,0.5,1,0.714285714285714,0.222222222222222,1.83333333333333
"Study 4","US",10959,"male",18,"Hispanic",0,1,"real estate","urban","Catholic",2,".",".",0.363636363636364,1.64285714285714,1.21428571428571,1,0.558823529411765,0.666666666666667,0.833333333333333,0.555555555555556,0.75
"Study 4","US",10960,"female",18,"Asian",0,0,"Nurse","rural","Christian",1,".",".",1.84210526315789,2.71428571428571,1.66666666666667,1.27272727272727,0.470588235294118,1.66666666666667,0.285714285714286,-0.111111111111111,0.0833333333333333
"Study 4","US",10961,"female",18,"Latina",1,-1,"Teacher / Cop","urban",".",-2,".",".",0.545454545454545,0.785714285714286,2.35714285714286,0.125,0.794117647058823,2.16666666666667,1,-0.111111111111111,-1.91666666666667
"Study 4","US",10962,"female",18,"white",0,0,"tile contractor","urban",".",-1,".",".",0.5,1.57142857142857,1.92857142857143,0.875,0.970588235294118,0.833333333333333,1,0.5,0
"Study 4","US",10963,"female",18,"afro-latina",1,0,"government","urban","Christianity",2,"Saint John Missionary Baptist Church",".",3.38095238095238,5,2.38461538461538,1.5,0.617647058823529,2.66666666666667,0.571428571428571,0.0625,-0.416666666666667
"Study 4","US",10964,"male",18,"Chinese",0,0,"Work","urban",".",-1,".",".",0.761904761904762,1.57142857142857,1.42857142857143,0.533333333333333,1,1,0,0.0555555555555556,0
"Study 4","US",10965,"male",18,"Filipino /Hawaiian",0,1,"Nurse Management / IT","rural","Christian",1,"San Carlos","1",2.15,4.5,0.714285714285714,0.1875,0.852941176470588,1.5,0.285714285714286,0.111111111111111,2.75
